iteracja,id_czastki,x,y,fitness
21,12,6.5546,1.1892,26.4000
21,13,6.6962,1.4842,26.4000
21,14,6.4054,1.0820,26.4000
21,15,6.4656,1.3424,26.4000
21,16,6.8323,1.2469,26.4000
21,17,6.7162,1.2250,26.4000
21,18,6.2508,1.5252,26.4000
21,19,6.6136,1.2144,26.4000
22,0,6.2380,1.2408,26.4000
22,1,6.4931,1.1678,26.4000
22,2,6.4942,1.2756,26.4000
22,3,6.7918,1.2172,26.4000
22,4,6.2330,1.2172,26.4000
22,5,6.7280,1.2329,26.4000
22,6,6.8213,1.2356,26.4000
22,7,6.8159,1.1400,26.4000
22,8,6.6481,1.2171,26.4000
22,9,6.7864,1.1273,26.4000
22,10,6.7119,1.2093,26.4000
22,11,6.7594,1.2197,26.4000
22,12,6.6234,1.1723,26.4000
22,13,6.6939,1.3799,26.4000
22,14,6.5513,1.0708,26.4000
22,15,6.4250,1.4164,26.4000
22,16,6.9026,1.1291,26.4000
22,17,6.7218,1.2286,26.4000
22,18,6.4978,1.3267,26.4000
22,19,6.5694,1.2064,26.4000
23,0,6.4634,1.2556,26.4000
23,1,6.4189,1.0661,26.4000
23,2,6.3323,1.2801,26.4000
23,3,6.7687,1.1996,26.4000
23,4,6.5856,1.2086,26.4000
23,5,6.7278,1.2329,26.4000
23,6,6.7905,1.2501,26.4000
23,7,6.7690,1.0778,26.4000
23,8,6.6373,1.2233,26.4000
23,9,6.7436,1.1891,26.4000
23,10,6.5323,1.2170,26.4000
23,11,6.7649,1.2152,26.4000
23,12,6.6157,1.1906,26.4000
23,13,6.7465,1.2490,26.4000
23,14,6.6613,1.2168,26.4000
23,15,6.6343,1.4159,26.4000
23,16,6.8764,1.1480,26.4000
23,17,6.7153,1.2154,26.4000
23,18,6.6814,1.2572,26.4000
23,19,6.4224,1.1979,26.4000
24,0,6.3811,1.2645,26.4000
24,1,6.4823,1.0405,26.4000
24,2,6.2752,1.2442,26.4000
24,3,6.7361,1.1939,26.4000
24,4,6.7162,1.2058,26.4000
24,5,6.7275,1.2330,26.4000
24,6,6.7285,1.2614,26.4000
24,7,6.7392,1.1498,26.4000
24,8,6.6580,1.2918,26.4000
24,9,6.7323,1.2200,26.4000
24,10,6.5046,1.2265,26.4000
24,11,6.7722,1.2093,26.4000
24,12,6.5968,1.1980,26.4000
24,13,6.7680,1.2698,26.4000
24,14,6.6241,1.1713,26.4000
24,15,6.7349,1.3412,26.4000
24,16,6.7829,1.1557,26.4000
24,17,6.6784,1.2114,26.4000
24,18,6.4403,1.2791,26.4000
24,19,6.5792,1.2060,26.4000
25,0,6.6212,1.2547,26.4000
25,1,6.6385,1.1475,26.4000
25,2,6.6474,1.2226,26.4000
25,3,6.7502,1.1858,26.4000
25,4,6.7537,1.2179,26.4000
25,5,6.7272,1.2330,26.4000
25,6,6.7686,1.2794,26.4000
25,7,6.8306,1.1805,26.4000
25,8,6.6726,1.3001,26.4000
25,9,6.7640,1.2084,26.4000
25,10,6.5311,1.2189,26.4000
25,11,6.7829,1.2048,26.4000
25,12,6.5905,1.2187,26.4000
25,13,6.7657,1.6111,26.4000
25,14,6.6051,1.1031,26.4000
25,15,6.7705,1.2747,26.4000
25,16,6.8225,1.0692,26.4000
25,17,6.6567,1.2240,26.4000
25,18,6.3536,1.4207,26.4000
25,19,6.6936,1.2020,26.4000
26,0,6.5591,1.2583,26.4000
26,1,6.5738,1.1956,26.4000
26,2,6.7573,1.2789,26.4000
26,3,6.7762,1.2027,26.4000
26,4,6.4938,1.2321,26.4000
26,5,6.7274,1.2330,26.4000
26,6,6.7767,1.2773,26.4000
26,7,6.8624,1.1743,26.4000
26,8,6.6008,1.2849,26.4000
26,9,6.7805,1.1931,26.4000
26,10,6.7204,1.1981,26.4000
26,11,6.8139,1.2033,26.4000
26,12,6.6323,1.1977,26.4000
26,13,6.7558,1.5795,26.4000
26,14,6.6471,1.0382,26.4000
26,15,6.4611,1.2297,26.4000
26,16,6.8229,1.1425,26.4000
26,17,6.7115,1.2311,26.4000
26,18,6.2908,1.3569,26.4000
26,19,6.5132,1.1992,26.4000
27,0,6.2150,1.2634,26.4000
27,1,6.3344,1.0989,26.4000
27,2,6.3278,1.2801,26.4000
27,3,6.7947,1.2273,26.4000
27,4,6.2226,1.2147,26.4000
27,5,6.7275,1.2330,26.4000
27,6,6.7804,1.2775,26.4000
27,7,6.7652,1.1575,26.4000
27,8,6.6421,1.2506,26.4000
27,9,6.8334,1.1089,26.4000
27,10,6.6128,1.2191,26.4000
27,11,6.8214,1.2105,26.4000
27,12,6.6636,1.1859,26.4000
27,13,6.7319,1.3327,26.4000
27,14,6.6843,1.0344,26.4000
27,15,6.4648,1.2940,26.4000
27,16,6.8579,1.1909,26.4000
27,17,6.7108,1.2229,26.4000
27,18,6.4793,1.2968,26.4000
27,19,6.3478,1.2209,26.4000
28,0,6.3315,1.2399,26.4000
28,1,6.3396,1.0564,26.4000
28,2,6.2560,1.2872,26.4000
28,3,6.8046,1.1991,26.4000
28,4,6.3043,1.1991,26.4000
28,5,6.7274,1.2330,26.4000
28,6,6.7879,1.2705,26.4000
28,7,6.7928,1.1495,26.4000
28,8,6.6160,1.2446,26.4000
28,9,6.8401,1.0448,26.4000
28,10,6.5641,1.2314,26.4000
28,11,6.7605,1.2165,26.4000
28,12,6.6238,1.1968,26.4000
28,13,6.7218,1.3305,26.4000
28,14,6.6731,1.0246,26.4000
28,15,6.4519,1.4049,26.4000
28,16,6.8396,1.1084,26.4000
28,17,6.6872,1.2148,26.4000
28,18,6.5835,1.3733,26.4000
28,19,6.3948,1.2292,26.4000
29,0,6.6649,1.2249,26.4000
29,1,6.5977,1.0876,26.4000
29,2,6.3239,1.2431,26.4000
29,3,6.8372,1.1652,26.4000
29,4,6.4394,1.2206,26.4000
29,5,6.7274,1.2330,26.4000
29,6,6.8537,1.2467,26.4000
29,7,6.7902,1.2123,26.4000
29,8,6.5657,1.2575,26.4000
29,9,6.8297,1.1996,26.4000
29,10,6.5584,1.2033,26.4000
